epoch,train_loss,val_loss,dice_mean,dice_et,dice_tc,dice_wt
1,0.912,0.8805,0.327,0.175,0.243,0.563
2,0.8851,0.8351,0.388,0.205,0.324,0.634
3,0.846,0.7648,0.519,0.306,0.449,0.802
4,0.7751,0.6586,0.569,0.351,0.538,0.818
5,0.6804,0.5435,0.71,0.58,0.734,0.818
6,0.5665,0.4214,0.729,0.604,0.754,0.83
7,0.4597,0.3673,0.736,0.67,0.719,0.819
8,0.3865,0.3165,0.745,0.677,0.748,0.809
9,0.3365,0.2735,0.772,0.718,0.76,0.839
10,0.304,0.2372,0.792,0.732,0.767,0.876
11,0.2836,0.2246,0.799,0.745,0.801,0.852
12,0.2674,0.2121,0.808,0.753,0.821,0.851
13,0.2603,0.2173,0.801,0.756,0.789,0.858
14,0.247,0.1872,0.824,0.763,0.833,0.877
15,0.253,0.2074,0.812,0.781,0.799,0.857
16,0.2399,0.1944,0.823,0.788,0.817,0.864
17,0.2366,0.1977,0.81,0.753,0.815,0.86
18,0.2339,0.1921,0.814,0.764,0.817,0.861
19,0.2317,0.2036,0.807,0.779,0.797,0.844
20,0.2248,0.1766,0.833,0.78,0.842,0.878
21,0.2212,0.1841,0.83,0.788,0.823,0.879
22,0.215,0.1765,0.832,0.785,0.828,0.883
23,0.219,0.1716,0.832,0.768,0.837,0.892
24,0.2221,0.1805,0.827,0.773,0.828,0.88
25,0.2186,0.1699,0.833,0.774,0.845,0.882
26,0.2107,0.1755,0.837,0.8,0.825,0.886
27,0.2133,0.1736,0.834,0.777,0.836,0.888
28,0.2061,0.1767,0.826,0.781,0.821,0.877
29,0.2144,0.164,0.848,0.805,0.855,0.883
30,0.2135,0.1844,0.823,0.78,0.821,0.868
31,0.2021,0.164,0.847,0.815,0.832,0.895
32,0.2054,0.1655,0.837,0.778,0.84,0.892
33,0.2006,0.1628,0.839,0.781,0.858,0.879
34,0.2038,0.17,0.841,0.81,0.838,0.876
35,0.2038,0.1689,0.842,0.81,0.828,0.888
36,0.2051,0.1735,0.834,0.788,0.83,0.882
37,0.2019,0.1588,0.848,0.802,0.853,0.888
38,0.1992,0.1592,0.843,0.792,0.849,0.887
39,0.194,0.1505,0.851,0.794,0.863,0.897
40,0.1955,0.1543,0.852,0.808,0.861,0.887
41,0.1959,0.1873,0.819,0.769,0.823,0.864
42,0.1929,0.1613,0.845,0.81,0.842,0.882
43,0.1956,0.1643,0.837,0.778,0.843,0.891
44,0.1984,0.169,0.841,0.822,0.835,0.867
45,0.1988,0.1657,0.84,0.811,0.82,0.889
46,0.1899,0.1531,0.848,0.794,0.862,0.888
47,0.1985,0.1741,0.836,0.809,0.828,0.871
48,0.1914,0.1555,0.846,0.793,0.858,0.886
49,0.187,0.1575,0.848,0.805,0.856,0.883
50,0.1871,0.1791,0.831,0.815,0.834,0.843
51,0.1878,0.1676,0.833,0.777,0.837,0.886
52,0.1854,0.1851,0.816,0.772,0.805,0.871
53,0.1866,0.1501,0.851,0.801,0.856,0.897
54,0.1868,0.1715,0.834,0.808,0.805,0.889
55,0.1924,0.17,0.836,0.8,0.836,0.871
56,0.1886,0.1759,0.826,0.783,0.798,0.897
57,0.189,0.1722,0.829,0.784,0.827,0.877
58,0.1823,0.1825,0.827,0.819,0.805,0.859
59,0.1895,0.1505,0.851,0.795,0.858,0.899
60,0.1865,0.1668,0.847,0.841,0.814,0.887
61,0.1776,0.1621,0.843,0.814,0.816,0.9
62,0.1826,0.1513,0.85,0.801,0.852,0.895
63,0.1786,0.1577,0.843,0.796,0.833,0.901
64,0.1845,0.154,0.847,0.783,0.857,0.9
65,0.1865,0.1554,0.855,0.824,0.848,0.892
66,0.1809,0.1856,0.824,0.8,0.812,0.861
67,0.1791,0.1707,0.835,0.793,0.839,0.873
68,0.1828,0.1635,0.837,0.792,0.823,0.897
69,0.1783,0.1529,0.848,0.803,0.841,0.9
70,0.1842,0.1748,0.827,0.763,0.836,0.881
71,0.1877,0.1576,0.843,0.794,0.85,0.886
72,0.1772,0.1574,0.848,0.798,0.843,0.903
73,0.1774,0.1562,0.845,0.799,0.841,0.894
