epoch,train_loss,val_loss,dice_mean,dice_et,dice_tc,dice_wt
1,0.9229,0.906,0.207,0.087,0.162,0.371
2,0.912,0.8959,0.272,0.137,0.191,0.488
3,0.9004,0.8776,0.492,0.486,0.358,0.631
4,0.8804,0.8407,0.449,0.374,0.363,0.609
5,0.8368,0.7449,0.533,0.433,0.431,0.733
6,0.7585,0.6101,0.662,0.569,0.62,0.797
7,0.6486,0.459,0.71,0.603,0.704,0.824
8,0.5375,0.3646,0.754,0.706,0.735,0.821
9,0.4387,0.2948,0.771,0.711,0.751,0.852
10,0.369,0.2613,0.778,0.715,0.76,0.86
11,0.3266,0.2567,0.768,0.67,0.772,0.863
12,0.3075,0.234,0.787,0.731,0.76,0.869
13,0.2864,0.2195,0.797,0.735,0.786,0.871
14,0.2716,0.215,0.805,0.731,0.805,0.88
15,0.2675,0.2093,0.809,0.757,0.789,0.881
16,0.2556,0.2423,0.768,0.708,0.754,0.843
17,0.2494,0.2115,0.801,0.747,0.798,0.857
18,0.2431,0.2002,0.807,0.744,0.804,0.873
19,0.2348,0.1904,0.816,0.752,0.818,0.878
20,0.2355,0.1982,0.812,0.752,0.804,0.88
21,0.2317,0.2064,0.802,0.753,0.802,0.851
22,0.2253,0.1889,0.816,0.751,0.828,0.867
23,0.2304,0.196,0.81,0.755,0.813,0.861
24,0.2242,0.1962,0.813,0.762,0.811,0.866
25,0.2249,0.2252,0.778,0.737,0.763,0.835
26,0.2207,0.1767,0.826,0.765,0.833,0.882
27,0.2197,0.1678,0.84,0.782,0.846,0.891
28,0.2175,0.1824,0.821,0.765,0.818,0.879
29,0.2111,0.1724,0.83,0.767,0.832,0.89
30,0.213,0.1768,0.826,0.764,0.828,0.886
31,0.2153,0.1777,0.825,0.759,0.837,0.881
32,0.2116,0.1897,0.814,0.761,0.814,0.867
33,0.21,0.1657,0.842,0.793,0.855,0.877
34,0.2044,0.1578,0.845,0.778,0.857,0.899
35,0.2045,0.164,0.838,0.777,0.848,0.89
36,0.2022,0.1702,0.832,0.768,0.838,0.89
37,0.2042,0.1713,0.831,0.763,0.843,0.887
38,0.2038,0.1673,0.839,0.79,0.843,0.885
39,0.2009,0.163,0.839,0.775,0.844,0.899
40,0.1991,0.1622,0.84,0.78,0.849,0.891
41,0.2018,0.164,0.842,0.798,0.834,0.895
42,0.1962,0.1607,0.841,0.773,0.854,0.895
43,0.1984,0.1663,0.835,0.784,0.848,0.874
44,0.1976,0.1724,0.829,0.77,0.836,0.881
45,0.1965,0.1631,0.839,0.771,0.851,0.895
46,0.1976,0.1651,0.837,0.767,0.846,0.897
47,0.1959,0.178,0.824,0.773,0.835,0.864
48,0.1985,0.1761,0.825,0.769,0.811,0.896
49,0.1927,0.1682,0.833,0.774,0.847,0.879
50,0.1918,0.1608,0.841,0.776,0.852,0.894
51,0.1911,0.1566,0.845,0.779,0.859,0.896
52,0.1936,0.1657,0.837,0.776,0.841,0.894
53,0.1909,0.1568,0.845,0.778,0.858,0.898
54,0.1899,0.1601,0.841,0.783,0.854,0.886
55,0.1876,0.1595,0.842,0.783,0.854,0.888
56,0.1903,0.169,0.833,0.782,0.826,0.891
57,0.1942,0.168,0.833,0.778,0.833,0.89
58,0.1852,0.1683,0.833,0.757,0.847,0.895
59,0.1848,0.1538,0.848,0.781,0.864,0.898
60,0.1937,0.1575,0.844,0.776,0.854,0.902
61,0.1845,0.1578,0.843,0.779,0.856,0.896
62,0.1885,0.1605,0.841,0.781,0.848,0.892
63,0.1872,0.1561,0.845,0.784,0.858,0.894
64,0.1834,0.1579,0.843,0.784,0.849,0.897
65,0.1796,0.1641,0.838,0.771,0.846,0.896
66,0.1829,0.1567,0.845,0.777,0.858,0.9
67,0.1813,0.159,0.842,0.784,0.856,0.887
68,0.1817,0.1531,0.848,0.783,0.863,0.899
69,0.1794,0.1496,0.852,0.786,0.865,0.904
70,0.1752,0.1595,0.841,0.788,0.843,0.892
71,0.1798,0.153,0.848,0.782,0.866,0.897
72,0.1773,0.1514,0.85,0.785,0.861,0.903
73,0.1841,0.1784,0.823,0.758,0.83,0.879
74,0.1796,0.1631,0.838,0.765,0.851,0.898
75,0.1766,0.153,0.849,0.778,0.861,0.907
76,0.1786,0.1639,0.837,0.769,0.845,0.898
77,0.1775,0.1604,0.841,0.77,0.853,0.9
78,0.1725,0.154,0.847,0.781,0.86,0.901
79,0.1743,0.1631,0.838,0.77,0.845,0.898
80,0.1731,0.2415,0.759,0.694,0.743,0.841
81,0.1758,0.15,0.851,0.789,0.861,0.904
82,0.1718,0.1476,0.853,0.791,0.867,0.903
83,0.1754,0.1636,0.837,0.769,0.849,0.895
84,0.1717,0.1828,0.818,0.76,0.796,0.898
85,0.1792,0.1546,0.847,0.779,0.854,0.906
86,0.1688,0.1532,0.848,0.78,0.858,0.905
87,0.1705,0.1564,0.845,0.785,0.853,0.897
88,0.1699,0.1609,0.84,0.78,0.849,0.892
89,0.1673,0.1536,0.847,0.788,0.854,0.901
90,0.1742,0.1704,0.831,0.763,0.838,0.891
91,0.1722,0.2167,0.788,0.723,0.795,0.847
92,0.1692,0.164,0.837,0.773,0.837,0.9
93,0.1651,0.1598,0.841,0.782,0.845,0.896
94,0.1679,0.1676,0.833,0.774,0.833,0.893
95,0.1682,0.1514,0.85,0.792,0.853,0.903
96,0.1647,0.1607,0.84,0.781,0.834,0.905
97,0.1687,0.17,0.831,0.77,0.838,0.885
98,0.1665,0.1594,0.841,0.777,0.843,0.905
99,0.166,0.1718,0.829,0.766,0.832,0.89
100,0.1636,0.1581,0.843,0.786,0.841,0.901
101,0.1621,0.1645,0.836,0.779,0.835,0.895
102,0.1622,0.1593,0.841,0.782,0.845,0.897
