epoch,train_loss,val_loss,dice_mean,dice_et,dice_tc,dice_wt
1,0.9206,0.9076,0.135,0.049,0.076,0.279
2,0.912,0.8996,0.308,0.051,0.374,0.499
3,0.8999,0.8858,0.37,0.055,0.442,0.614
4,0.881,0.857,0.441,0.199,0.454,0.668
5,0.8357,0.7951,0.492,0.253,0.517,0.707
6,0.7471,0.6856,0.589,0.419,0.55,0.799
7,0.6344,0.5549,0.727,0.64,0.71,0.831
8,0.5133,0.4355,0.742,0.681,0.726,0.82
9,0.4261,0.3518,0.76,0.693,0.745,0.842
10,0.3625,0.3067,0.773,0.725,0.763,0.832
11,0.3169,0.2702,0.783,0.738,0.767,0.843
12,0.2907,0.2702,0.767,0.723,0.756,0.823
13,0.2755,0.2624,0.766,0.726,0.758,0.815
14,0.2684,0.2254,0.796,0.748,0.783,0.858
15,0.254,0.2177,0.798,0.752,0.791,0.851
16,0.2509,0.2075,0.805,0.749,0.802,0.864
17,0.2434,0.1896,0.826,0.771,0.823,0.883
18,0.2365,0.2139,0.798,0.764,0.771,0.86
19,0.2426,0.1968,0.81,0.757,0.807,0.867
20,0.2347,0.1963,0.82,0.778,0.818,0.864
21,0.2306,0.2214,0.789,0.737,0.78,0.849
22,0.2243,0.1852,0.825,0.774,0.823,0.878
23,0.2218,0.1784,0.831,0.772,0.84,0.881
24,0.219,0.1717,0.834,0.775,0.837,0.89
25,0.2161,0.1799,0.829,0.781,0.843,0.863
26,0.2198,0.1808,0.823,0.759,0.826,0.884
27,0.2134,0.1641,0.84,0.775,0.853,0.89
28,0.2073,0.1821,0.827,0.784,0.808,0.888
29,0.2091,0.1683,0.839,0.78,0.853,0.885
30,0.2095,0.1754,0.832,0.77,0.838,0.889
31,0.2188,0.1769,0.826,0.76,0.831,0.888
32,0.2079,0.171,0.832,0.774,0.837,0.885
33,0.2043,0.1599,0.847,0.803,0.854,0.885
34,0.2028,0.1693,0.834,0.772,0.845,0.883
