epoch,train_loss,val_loss,dice_mean,dice_et,dice_tc,dice_wt
1,0.8911,0.8873,0.296,0.047,0.325,0.517
2,0.8274,0.8481,0.42,0.057,0.455,0.747
3,0.7411,0.7847,0.509,0.272,0.461,0.794
4,0.6455,0.6874,0.563,0.389,0.486,0.814
5,0.5327,0.5416,0.688,0.583,0.653,0.829
6,0.4211,0.4547,0.702,0.666,0.693,0.746
7,0.3455,0.3291,0.748,0.688,0.717,0.84
8,0.301,0.274,0.793,0.745,0.771,0.861
9,0.2854,0.2651,0.772,0.729,0.73,0.856
10,0.2648,0.2234,0.809,0.752,0.812,0.863
11,0.2554,0.214,0.809,0.752,0.803,0.872
12,0.2469,0.2088,0.81,0.754,0.807,0.871
13,0.2372,0.2303,0.783,0.733,0.786,0.832
14,0.2283,0.233,0.791,0.766,0.768,0.838
15,0.2203,0.2439,0.767,0.718,0.741,0.84
16,0.2262,0.2327,0.78,0.744,0.763,0.833
17,0.2235,0.2164,0.796,0.763,0.794,0.831
18,0.2209,0.1974,0.815,0.782,0.805,0.857
19,0.2125,0.1887,0.818,0.782,0.801,0.87
20,0.206,0.2019,0.804,0.759,0.798,0.853
21,0.2095,0.1949,0.82,0.8,0.776,0.884
22,0.2092,0.1804,0.829,0.788,0.82,0.878
23,0.207,0.1744,0.83,0.784,0.813,0.893
24,0.204,0.1903,0.814,0.757,0.815,0.869
25,0.1998,0.1672,0.841,0.798,0.84,0.886
26,0.2025,0.1796,0.824,0.775,0.823,0.874
27,0.2017,0.1696,0.839,0.805,0.817,0.894
28,0.1945,0.1691,0.847,0.824,0.825,0.891
29,0.1924,0.1714,0.836,0.798,0.82,0.891
30,0.2087,0.1836,0.82,0.773,0.819,0.868
31,0.2009,0.1679,0.835,0.798,0.814,0.893
32,0.1903,0.1849,0.822,0.786,0.803,0.877
33,0.1881,0.1828,0.824,0.8,0.788,0.884
34,0.1842,0.1588,0.844,0.794,0.84,0.897
35,0.189,0.1701,0.837,0.803,0.822,0.885
36,0.1886,0.1857,0.818,0.778,0.807,0.869
37,0.1821,0.1699,0.837,0.797,0.814,0.898
38,0.1858,0.2149,0.787,0.777,0.715,0.87
39,0.1913,0.155,0.852,0.814,0.844,0.899
40,0.1857,0.1703,0.832,0.784,0.821,0.89
41,0.1935,0.199,0.803,0.763,0.77,0.878
42,0.1828,0.17,0.833,0.786,0.824,0.887
43,0.1808,0.165,0.837,0.793,0.823,0.895
44,0.1816,0.1691,0.839,0.793,0.831,0.894
45,0.1816,0.1786,0.836,0.827,0.809,0.873
46,0.1787,0.1867,0.815,0.777,0.802,0.865
47,0.1931,0.1626,0.844,0.804,0.835,0.894
48,0.1773,0.1821,0.82,0.778,0.797,0.885
49,0.1782,0.1684,0.834,0.788,0.827,0.888
50,0.1809,0.1808,0.821,0.789,0.779,0.894
51,0.1743,0.1458,0.86,0.82,0.859,0.902
52,0.1809,0.1737,0.832,0.805,0.792,0.901
53,0.1808,0.1854,0.816,0.788,0.784,0.877
54,0.1753,0.156,0.85,0.813,0.834,0.904
55,0.1742,0.1614,0.84,0.797,0.821,0.903
56,0.1712,0.1519,0.854,0.812,0.847,0.903
57,0.166,0.1722,0.834,0.817,0.788,0.897
58,0.1805,0.1741,0.832,0.799,0.795,0.901
59,0.1672,0.1624,0.843,0.801,0.832,0.897
60,0.1747,0.1551,0.851,0.816,0.839,0.898
61,0.1639,0.157,0.85,0.811,0.839,0.9
62,0.1616,0.158,0.843,0.794,0.834,0.902
63,0.1705,0.185,0.825,0.809,0.807,0.859
64,0.162,0.1547,0.847,0.786,0.852,0.902
65,0.1708,0.1565,0.849,0.812,0.843,0.893
66,0.1769,0.1406,0.861,0.806,0.876,0.9
67,0.1784,0.1558,0.845,0.792,0.844,0.899
68,0.1653,0.1601,0.841,0.796,0.838,0.889
69,0.1617,0.1568,0.849,0.805,0.841,0.9
70,0.1692,0.1552,0.851,0.808,0.837,0.906
71,0.1636,0.1493,0.861,0.834,0.843,0.905
72,0.1599,0.1578,0.852,0.823,0.829,0.905
73,0.183,0.1589,0.842,0.805,0.819,0.904
74,0.16,0.1539,0.852,0.811,0.842,0.902
75,0.1606,0.1507,0.851,0.789,0.866,0.897
76,0.1656,0.1545,0.856,0.826,0.835,0.905
77,0.1614,0.1751,0.831,0.809,0.795,0.888
78,0.1764,0.1692,0.836,0.807,0.806,0.896
79,0.1602,0.1635,0.847,0.826,0.813,0.901
80,0.1558,0.1409,0.865,0.827,0.859,0.908
81,0.1556,0.1504,0.851,0.807,0.84,0.905
82,0.1556,0.1589,0.847,0.822,0.814,0.904
83,0.1603,0.1604,0.84,0.799,0.819,0.903
84,0.156,0.147,0.858,0.819,0.849,0.908
85,0.1631,0.1921,0.813,0.779,0.763,0.898
86,0.1644,0.199,0.806,0.78,0.786,0.853
