epoch,train_loss,val_loss,dice_mean,dice_et,dice_tc,dice_wt
1,0.916,0.9043,0.226,0.117,0.112,0.45
2,0.9006,0.895,0.317,0.233,0.204,0.513
3,0.8773,0.8793,0.384,0.27,0.284,0.598
4,0.8327,0.8514,0.424,0.278,0.342,0.651
5,0.7692,0.7929,0.485,0.318,0.4,0.735
6,0.6683,0.6862,0.608,0.513,0.477,0.836
7,0.5548,0.571,0.669,0.641,0.521,0.845
8,0.4719,0.4669,0.695,0.686,0.572,0.828
9,0.3955,0.3694,0.754,0.703,0.726,0.832
10,0.3437,0.296,0.785,0.73,0.772,0.853
11,0.3123,0.2862,0.787,0.753,0.78,0.829
12,0.2903,0.256,0.79,0.757,0.771,0.841
13,0.2765,0.2768,0.754,0.726,0.745,0.791
14,0.2567,0.2022,0.826,0.775,0.831,0.872
15,0.2493,0.2228,0.809,0.764,0.812,0.851
16,0.2489,0.2157,0.803,0.765,0.793,0.852
17,0.2429,0.1995,0.812,0.755,0.808,0.874
18,0.2414,0.2258,0.79,0.739,0.78,0.85
19,0.2294,0.1846,0.829,0.782,0.836,0.868
20,0.221,0.1862,0.821,0.769,0.821,0.872
21,0.2226,0.3979,0.607,0.56,0.583,0.678
22,0.2202,0.1911,0.824,0.795,0.821,0.857
23,0.2176,0.1726,0.833,0.76,0.843,0.896
24,0.2072,0.1749,0.835,0.798,0.827,0.88
25,0.217,0.1755,0.834,0.798,0.826,0.878
26,0.2123,0.2339,0.776,0.736,0.755,0.836
27,0.2072,0.2037,0.801,0.748,0.8,0.855
28,0.2046,0.1886,0.815,0.766,0.808,0.871
29,0.2004,0.1958,0.812,0.784,0.795,0.856
30,0.2027,0.1819,0.823,0.765,0.824,0.878
31,0.207,0.1774,0.826,0.778,0.814,0.886
32,0.2003,0.2257,0.786,0.749,0.757,0.852
33,0.1988,0.1687,0.835,0.786,0.84,0.878
34,0.1963,0.1651,0.84,0.79,0.838,0.892
35,0.1978,0.1782,0.824,0.782,0.826,0.864
36,0.2072,0.1593,0.844,0.788,0.854,0.889
37,0.1935,0.1848,0.827,0.798,0.816,0.866
38,0.1866,0.1862,0.83,0.795,0.802,0.893
39,0.1916,0.2028,0.799,0.756,0.759,0.881
40,0.2032,0.175,0.827,0.788,0.816,0.879
41,0.1955,0.1798,0.822,0.765,0.813,0.889
42,0.1957,0.1861,0.82,0.798,0.791,0.872
43,0.1901,0.1709,0.831,0.78,0.833,0.881
44,0.1886,0.1839,0.822,0.804,0.793,0.869
45,0.1855,0.1679,0.833,0.786,0.828,0.886
46,0.1792,0.1766,0.834,0.81,0.803,0.89
47,0.1834,0.1577,0.843,0.796,0.828,0.904
48,0.1781,0.1606,0.841,0.797,0.836,0.891
49,0.1819,0.1591,0.847,0.816,0.84,0.885
50,0.1819,0.1611,0.841,0.789,0.839,0.894
51,0.1816,0.1751,0.827,0.755,0.841,0.885
52,0.1821,0.1861,0.82,0.765,0.817,0.878
53,0.1828,0.154,0.857,0.825,0.848,0.898
54,0.1747,0.1645,0.836,0.803,0.814,0.892
55,0.184,0.1735,0.828,0.778,0.828,0.877
56,0.1788,0.1615,0.84,0.795,0.832,0.893
57,0.1738,0.1683,0.833,0.784,0.818,0.898
58,0.1724,0.175,0.836,0.814,0.817,0.876
59,0.1707,0.1496,0.852,0.796,0.858,0.902
60,0.1698,0.1486,0.853,0.796,0.858,0.904
61,0.1728,0.1639,0.837,0.795,0.821,0.895
62,0.1655,0.1505,0.851,0.802,0.848,0.902
63,0.1682,0.1834,0.818,0.782,0.805,0.866
64,0.183,0.1833,0.819,0.777,0.815,0.864
65,0.178,0.1892,0.816,0.791,0.784,0.874
66,0.1715,0.1634,0.838,0.793,0.822,0.899
67,0.1676,0.1847,0.816,0.785,0.795,0.87
68,0.1603,0.1603,0.841,0.792,0.833,0.897
69,0.1696,0.1579,0.844,0.798,0.831,0.901
70,0.1632,0.1815,0.82,0.786,0.787,0.886
71,0.166,0.174,0.827,0.787,0.822,0.872
72,0.1645,0.1677,0.838,0.788,0.82,0.905
73,0.1665,0.1707,0.83,0.784,0.816,0.892
74,0.1565,0.1671,0.834,0.787,0.824,0.892
75,0.1622,0.1741,0.827,0.763,0.829,0.888
76,0.1762,0.19,0.815,0.781,0.803,0.862
77,0.1623,0.157,0.844,0.791,0.837,0.904
78,0.1573,0.1852,0.816,0.772,0.795,0.881
79,0.158,0.1602,0.841,0.8,0.817,0.905
80,0.1591,0.1567,0.844,0.794,0.834,0.905
