epoch,train_loss,val_loss,dice_mean,dice_et,dice_tc,dice_wt
1,0.918,0.9207,0.096,0.028,0.089,0.17
2,0.8992,0.9083,0.151,0.047,0.088,0.316
3,0.8652,0.8924,0.314,0.05,0.388,0.505
4,0.8052,0.8668,0.333,0.061,0.443,0.495
5,0.726,0.8157,0.474,0.25,0.472,0.7
6,0.6307,0.7117,0.561,0.405,0.49,0.789
7,0.5249,0.5606,0.697,0.562,0.693,0.837
8,0.4351,0.4714,0.698,0.604,0.684,0.805
9,0.3627,0.3638,0.745,0.671,0.724,0.839
10,0.3168,0.2991,0.785,0.738,0.785,0.831
11,0.2903,0.284,0.786,0.77,0.721,0.866
12,0.266,0.2281,0.805,0.741,0.796,0.879
13,0.2539,0.205,0.82,0.759,0.817,0.885
14,0.2504,0.2706,0.748,0.712,0.749,0.784
15,0.2266,0.2168,0.808,0.789,0.766,0.87
16,0.2285,0.1875,0.825,0.771,0.831,0.874
17,0.2174,0.181,0.834,0.79,0.82,0.892
18,0.2366,0.2229,0.792,0.763,0.776,0.836
19,0.2191,0.2135,0.798,0.763,0.794,0.836
20,0.2178,0.1786,0.828,0.777,0.823,0.884
21,0.212,0.207,0.808,0.787,0.789,0.847
22,0.2113,0.1731,0.837,0.794,0.832,0.885
23,0.2218,0.1868,0.824,0.792,0.812,0.867
24,0.2057,0.1961,0.808,0.781,0.778,0.866
25,0.2045,0.1763,0.832,0.797,0.803,0.896
26,0.2,0.1601,0.849,0.794,0.855,0.899
27,0.2087,0.1763,0.832,0.798,0.817,0.881
28,0.1956,0.1852,0.822,0.794,0.789,0.884
29,0.197,0.1971,0.805,0.751,0.789,0.876
30,0.1971,0.1695,0.843,0.825,0.817,0.887
31,0.1951,0.1711,0.832,0.791,0.809,0.894
32,0.192,0.1731,0.834,0.797,0.826,0.879
33,0.1956,0.1554,0.848,0.791,0.853,0.898
34,0.1891,0.1751,0.827,0.778,0.82,0.883
35,0.1855,0.1606,0.842,0.772,0.854,0.898
36,0.186,0.1693,0.833,0.779,0.843,0.876
37,0.1817,0.1601,0.842,0.796,0.835,0.895
38,0.196,0.1835,0.823,0.793,0.805,0.871
39,0.185,0.1835,0.828,0.814,0.77,0.898
40,0.1884,0.1758,0.826,0.779,0.818,0.88
41,0.1812,0.1928,0.809,0.762,0.787,0.878
42,0.1793,0.1715,0.83,0.786,0.818,0.887
43,0.1878,0.1623,0.839,0.789,0.83,0.897
44,0.1768,0.1609,0.845,0.81,0.826,0.901
45,0.1768,0.1712,0.835,0.796,0.817,0.893
46,0.18,0.1649,0.842,0.794,0.834,0.898
47,0.1769,0.1714,0.839,0.816,0.811,0.891
48,0.1701,0.1686,0.846,0.826,0.825,0.888
49,0.17,0.1598,0.847,0.81,0.829,0.901
50,0.1751,0.1706,0.835,0.815,0.797,0.895
51,0.1727,0.1695,0.832,0.783,0.812,0.901
52,0.1711,0.1664,0.835,0.795,0.809,0.901
53,0.1683,0.1555,0.846,0.805,0.839,0.895
